LONC_CODE,DTA_DESC
3339-9,Amobarbital Ur Ql - Amobarbital [Presence] in Urine
33226-2,Coarse Gran Casts #/area UrnS HPF - Coarse Granular Casts [#/area] in Urine sediment by Microscopy high power field
26574-4,1Me-hist/Creat Ur-sRto - 1-Methylhistidine/Creatinine [Molar ratio] in Urine
26575-1,3Me-histidine/Creat Ur-sRto - 3-Methylhistidine/Creatinine [Molar ratio] in Urine
26577-7,Asparagine/Creat Ur-sRto - Asparagine/Creatinine [Molar ratio] in Urine
26578-5,B-Alanine/Creat Ur-sRto - Beta alanine/Creatinine [Molar ratio] in Urine
26581-9,GABA/Creat Ur-sRto - Gamma aminobutyrate/Creatinine [Molar ratio] in Urine
26601-5,AAA/Creat Ur-sRto - Alpha aminoadipate/Creatinine [Molar ratio] in Urine
26692-4,Deprecated S pneum19 Ab Ser-mCnc - Deprecated Streptococcus pneumoniae 19 Ab [Mass/volume] in Serum
26701-3,Deprecated S pneum9 Ab Ser-mCnc - Deprecated Streptococcus pneumoniae 9 Ab [Mass/volume] in Serum
26717-9,PETN Bld-sCnc - Phosphoethanolamine [Moles/volume] in Blood
26919-1,A-Aminobutyr/Creat Ur-sRto - Alpha aminobutyrate/Creatinine [Molar ratio] in Urine
27391-2,Candida IgM Ser IA-aCnc - Candida sp IgM Ab [Units/volume] in Serum by Immunoassay
27400-1,Hexa-CP Ur-mCnc - Hexacarboxylporphyrin [Mass/volume] in Urine
27417-5,Candida IgA Ser IA-aCnc - Candida sp IgA Ab [Units/volume] in Serum by Immunoassay
2887-8,Prot Ur Ql - Protein [Presence] in Urine
2861-3,Albumin CSF Elph-mCnc - Albumin [Mass/volume] in Cerebral spinal fluid by Electrophoresis
30241-4,Lactate BldV-mCnc - Lactate [Mass/volume] in Venous blood
3085-8,Urate Snv-mCnc - Urate [Mass/volume] in Synovial fluid
2007-3,Cancer Ag15-3 SerPl Ql - Cancer Ag 15-3 [Presence] in Serum or Plasma
20399-2,ANA nucleolar Titr Ser - Nucleolar nuclear Ab pattern [Titer] in Serum
20459-4,Gp B Strep Ag Spec Ql LA - Streptococcus agalactiae Ag [Presence] in Specimen by Latex agglutination
19726-9,A fumigatus IgG Ser Ql - Aspergillus fumigatus IgG Ab [Presence] in Serum
20561-7,traMADol Ur Cfm-mCnc - traMADol [Mass/volume] in Urine by Confirmatory method
22692-8,Valine/Creat Ur-sRto - Valine/Creatinine [Molar ratio] in Urine
22693-6,Leucine/Creat Ur-sRto - Leucine/Creatinine [Molar ratio] in Urine
22694-4,Citrulline/Creat Ur-sRto - Citrulline/Creatinine [Molar ratio] in Urine
22695-1,Carnitine/Creat Ur-sRto - Carnitine/Creatinine [Molar ratio] in Urine
22697-7,Arginine/Creat Ur-sRto - Arginine/Creatinine [Molar ratio] in Urine
22698-5,Alanine/Creat Ur-sRto - Alanine/Creatinine [Molar ratio] in Urine
19467-0,Flunitrazepam Ur Ql Cfm - Flunitrazepam [Presence] in Urine by Confirmatory method
19348-2,Amphet CtO Ur Cfm-mCnc - Amphetamine cutoff [Mass/volume] in Urine for Confirmatory method
18475-4,Phe/Creat Ur-sRto - Phenylalanine/Creatinine [Molar ratio] in Urine
17948-1,Fungus Spec Cult org #3 - Fungus # 3 identified in Specimen by Culture
16226-3,BZE Ur Cfm-mCnc - Benzoylecgonine [Mass/volume] in Urine by Confirmatory method
16133-1,L pneumo IgM Titr Ser IF - Legionella pneumophila IgM Ab [Titer] in Serum by Immunofluorescence
22483-2,R rickettsi IgM Titr Ser - Rickettsia rickettsii IgM Ab [Titer] in Serum
22679-5,Lysine/Creat Ur-sRto - Lysine/Creatinine [Molar ratio] in Urine
22681-1,Methionine/Creat Ur-sRto - Methionine/Creatinine [Molar ratio] in Urine
22682-9,Ornithine/Creat Ur-sRto - Ornithine/Creatinine [Molar ratio] in Urine
22684-5,Serine/Creat Ur-sRto - Serine/Creatinine [Molar ratio] in Urine
22685-2,Tyrosine/Creat Ur-sRto - Tyrosine/Creatinine [Molar ratio] in Urine
22687-8,Cystine/Creat Ur-sRto - Cystine/Creatinine [Molar ratio] in Urine
22688-6,Threonine/Creat Ur-sRto - Threonine/Creatinine [Molar ratio] in Urine
22690-2,Proline/Creat Ur-sRto - Proline/Creatinine [Molar ratio] in Urine
22691-0,Aspartate/Creat Ur-sRto - Aspartate/Creatinine [Molar ratio] in Urine
22703-3,Histidine/Creat Ur-sRto - Histidine/Creatinine [Molar ratio] in Urine
21770-3,Chr 12 Ts Bld/T Ql - Chromosome 12 trisomy [Presence] in Blood or Tissue by Cytogenetics
22035-0,Primary site Cancer - Primary site Cancer Narrative
22709-0,Glycine/Creat Ur-sRto - Glycine/Creatinine [Molar ratio] in Urine
22710-8,Glutamine/Creat Ur-sRto - Glutamine/Creatinine [Molar ratio] in Urine
22711-6,Glutamate/Creat Ur-sRto - Glutamate/Creatinine [Molar ratio] in Urine
22716-5,Methionine Spec-sCnc - Methionine [Moles/volume] in Specimen
22718-1,Glycine Spec-sCnc - Glycine [Moles/volume] in Specimen
22719-9,Leucine Spec-sCnc - Leucine [Moles/volume] in Specimen
22720-7,Glutamine Spec-sCnc - Glutamine [Moles/volume] in Specimen
22721-5,Glutamate Spec-sCnc - Glutamate [Moles/volume] in Specimen
22722-3,Citrulline Spec-sCnc - Citrulline [Moles/volume] in Specimen
22706-6,Isoleucine/Creat Ur-sRto - Isoleucine/Creatinine [Molar ratio] in Urine
22707-4,(Hcys)2/Creat Ur-sRto - Homocystine/Creatinine [Molar ratio] in Urine
22740-5,Threonine Spec-sCnc - Threonine [Moles/volume] in Specimen
22741-3,Serine Spec-sCnc - Serine [Moles/volume] in Specimen
21007-0,HIV1 Ab Ser Donr Ql - HIV 1 Ab [Presence] in Serum from Donor
2104-8,Choriomammotropin Ser-mCnc - Choriomammotropin [Mass/volume] in Serum
21223-3,Cortis sp1 p chal SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --1st specimen post XXX challenge
21570-7,T gondii IgG Ser Ql Dye Test - Toxoplasma gondii IgG Ab [Presence] in Serum by Sabin dye test
2550-2,Lactate/Pyruvate Bld-sRto - Lactate/Pyruvate [Molar ratio] in Blood
25682-6,Kappa LC 24h Ur-mRate - Kappa light chains [Mass/time] in 24 hour Urine
27161-9,Il4 SerPl-mCnc - Interleukin 4 [Mass/volume] in Serum or Plasma
26656-9,HTLV II Ab Ser Ql - HTLV II Ab [Presence] in Serum
25109-0,OH-Lysine/Creat Ur-sRto - Hydroxylysine/Creatinine [Molar ratio] in Urine
25110-8,OH-Proline/Creat Ur-sRto - Hydroxyproline/Creatinine [Molar ratio] in Urine
25092-8,Cystathionin/Creat Ur-sRto - Cystathionine/Creatinine [Molar ratio] in Urine
25133-0,Sarcosine/Creat Ur-sRto - Sarcosine/Creatinine [Molar ratio] in Urine
25138-9,Taurine/Creat Ur-sRto - Taurine/Creatinine [Molar ratio] in Urine
25139-7,Tryptophan/Creat Ur-sRto - Tryptophan/Creatinine [Molar ratio] in Urine
2407-5,Hepta-CP Ur-mCnc - Heptacarboxylporphyrin [Mass/volume] in Urine
23918-6,OF .60% NaCl 24h Inc NFr RBC - Osmotic fragility of Red Blood Cells--0.60% sodium chloride 24 hour 37 degree C incubation
23920-2,OF .65% NaCl 24h Inc NFr RBC - Osmotic fragility of Red Blood Cells--0.65% sodium chloride 24 hour 37 degree C incubation
25684-2,Lambda LC 24h Ur-mRate - Lambda light chains [Mass/time] in 24 hour Urine
2485-1,IGF-II SerPl-mCnc - Insulin-like growth factor-II [Mass/volume] in Serum or Plasma
2495-0,Iodine Ur-mCnc - Iodine [Mass/volume] in Urine
25086-0,B-AIB/Creat Ur-sRto - Beta aminoisobutyrate/Creatinine [Molar ratio] in Urine
25098-5,Ethanolamine/Creat Ur-sRto - Ethanolamine/Creatinine [Molar ratio] in Urine
16016-8,Sheep Sorrel IgE RAST Ql - Sheep Sorrel IgE Ab RAST class [Presence] in Serum
15955-8,Poppy Seed IgE RAST Ql - Poppy Seed IgE Ab RAST class [Presence] in Serum
15925-1,Black Pepper IgE RAST Ql - Black Pepper IgE Ab RAST class [Presence] in Serum
15902-0,Paprika IgE RAST Ql - Paprika IgE Ab RAST class [Presence] in Serum
15872-5,Nettle IgE RAST Ql - Nettle IgE Ab RAST class [Presence] in Serum
15874-1,Nutmeg IgE RAST Ql - Nutmeg IgE Ab RAST class [Presence] in Serum
15866-7,Mushroom IgE RAST Ql - Mushroom IgE Ab RAST class [Presence] in Serum
15893-1,Onion IgE RAST Ql - Onion IgE Ab RAST class [Presence] in Serum
15958-2,Sweet potato IgE RAST Ql - Sweet potato IgE Ab RAST class [Presence] in Serum
15860-0,Mouse Serum Prot IgE RAST Ql - Mouse serum proteins IgE Ab RAST class [Presence] in Serum
15661-2,Cow Dander IgE RAST Ql - Cow dander IgE Ab RAST class [Presence] in Serum
15692-7,Eggplant IgE RAST Ql - Eggplant IgE Ab RAST class [Presence] in Serum
15737-0,Bahia grass IgE RAST Ql - Bahia grass IgE Ab RAST class [Presence] in Serum
14176-2,Pyrroles Ur-mCnc - Pyrroles [Mass/volume] in Urine
1403-5,Cortis 1h p 250 ug ACTH IM SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM
14587-0,Aldost 24h Ur-sRate - Aldosterone [Moles/time] in 24 hour Urine
15082-1,MetHgb Bld-mCnc - Methemoglobin [Mass/volume] in Blood
1506-5,Glucose 1h p 50 g Lac PO SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --1 hour post 50 g lactose PO
14854-4,Norepineph 24h Ur-sRate - Norepinephrine [Moles/time] in 24 hour Urine
15187-8,Lambda LC 24h Ur-mCnc - Lambda light chains [Mass/volume] in 24 hour Urine
15188-6,Kappa LC 24h Ur-mCnc - Kappa light chains [Mass/volume] in 24 hour Urine
1517-2,Glucose 2h p 50 g Lac PO SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --2 hours post 50 g lactose PO
15591-1,Buckwheat IgE RAST Ql - Buckwheat IgE Ab RAST class [Presence] in Serum
15724-8,Garlic IgE RAST Ql - Garlic IgE Ab RAST class [Presence] in Serum
1526-3,Glucose 30M p 50 g Lac PO SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --30 minutes post 50 g lactose PO
13733-1,DOPamine/Creat Ur - DOPamine/Creatinine [Mass Ratio] in Urine
13734-9,Epineph/Creat Ur - EPINEPHrine/Creatinine [Mass Ratio] in Urine
13735-6,Epineph+Nor/Creat Ur - Epinephrine+Norepinephrine/Creatinine [Mass Ratio] in Urine
13660-6,GnRH SerPl-mCnc - Gonadotropin releasing hormone [Mass/volume] in Serum or Plasma
13606-9,Glucose 3h p 50 g Lac PO SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --3 hours post 50 g lactose PO
13530-1,nRBC # Fld Manual - Nucleated erythrocytes [#/volume] in Body fluid by Manual count
13464-3,Chromium/Creat Ur - Chromium/Creatinine [Mass Ratio] in Urine
12295-2,Hallucinogens Ur - Hallucinogens [Identifier] in Urine
12389-3,OLANZapine SerPl-mCnc - OLANZapine [Mass/volume] in Serum or Plasma
13013-8,MIBK Bld-mCnc - Methyl isobutyl ketone [Mass/volume] in Blood
13014-6,MNBK Bld-mCnc - Methyl butyl ketone [Mass/volume] in Blood
13706-7,Amylase/Creat Ur - Amylase/Creatinine [Mass Ratio] in Urine
13782-8,Norepineph/Creat Ur - Norepinephrine/Creatinine [Mass Ratio] in Urine
13783-6,Normetanephrine/Creat Ur - Normetanephrine/Creatinine [Mass Ratio] in Urine
13298-5,HLA-A - HLA-A [Type]
12722-5,IGF BP1 SerPl-mCnc - Insulin-like growth factor binding protein 1 [Mass/volume] in Serum or Plasma
1288-0,P1 Ab SerPl Ql - P1 Ab [Presence] in Serum or Plasma
12272-1,Virus Spec IF - Virus identified in Specimen by Immunofluorescence
13469-2,Thallium/Creat Ur - Thallium/Creatinine [Mass Ratio] in Urine
11221-9,Penta-CP Ur-mCnc - Pentacarboxylporphyrins [Mass/volume] in Urine
11228-4,Uropor Ur-mCnc - Uroporphyrin [Mass/volume] in Urine
11502-2,Laboratory report - Laboratory report
10332-5,Cortis pre 250 ug ACTH IM SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --pre 250 ug corticotropin IM
10635-1,Acanthamoeba Eye Cult - Acanthamoeba sp identified in Eye by Organism specific culture
10885-2,Porphyrins 24h Ur-mRate - Porphyrins [Mass/time] in 24 hour Urine
10888-6,Lipase Ur-cCnc - Lipase [Enzymatic activity/volume] in Urine
10865-4,ICS Ab Ser Ql - Intercellular substance Ab [Presence] in Serum
10867-0,Sulfatide IgM Titr Ser - Sulfatide IgM Ab [Titer] in Serum
10921-5,B tropicalis IgE Qn - Blomia tropicalis IgE Ab [Units/volume] in Serum
11052-8,Ketamine Ur-mCnc - Ketamine [Mass/volume] in Urine
10723-5,T gondii IgA Ser IA-aCnc - Toxoplasma gondii IgA Ab [Units/volume] in Serum by Immunoassay
10862-1,BM Ab Titr Ser - Basement membrane Ab [Titer] in Serum
10644-3,Insect Spec - Arthropod identified in Specimen
10449-7,Glucose 1h p meal SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --1 hour post meal
10343-2,Temazepam SerPl-mCnc - Temazepam [Mass/volume] in Serum or Plasma
11242-5,Mercaptopurine SerPl-mCnc - Mercaptopurine [Mass/volume] in Serum or Plasma
11279-7,UrnS Cmnt Micro - Urine sediment comments by Light microscopy Narrative
11191-4,Pollock IgE Qn - Pollock IgE Ab [Units/volume] in Serum
11188-0,Cayenne IgE Qn - Cayenne IgE Ab [Units/volume] in Serum
11144-3,HVA Ur-mCnc - Homovanillate [Mass/volume] in Urine
12618-5,Glucose sp4 p chal SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge
12619-3,Glucose sp5 p chal SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --5th specimen post XXX challenge
1168-4,little f Ab SerPl Ql - little f Ab [Presence] in Serum or Plasma
11584-0,A pullulans Ab Ser Ql - Aureobasidium pullulans Ab [Presence] in Serum
116-4,cefOXitin Islt MIC - cefOXitin [Susceptibility] by Minimum inhibitory concentration (MIC)
13472-6,Nickel/Creat Ur - Nickel/Creatinine [Mass Ratio] in Urine
13473-4,Zinc/Creat Ur - Zinc/Creatinine [Mass Ratio] in Urine
12949-4,CDT SerPl-mCnc - Transferrin.carbohydrate deficient [Mass/volume] in Serum or Plasma
12648-2,Glucose 15M p Lac PO SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --15 minutes post dose lactose PO
12716-7,17OHP sp2 p chal SerPl-mCnc - 17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge
12717-5,17OHP sp3 p chal SerPl-mCnc - 17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge
12718-3,17OHP sp4 p chal SerPl-mCnc - 17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge
12719-1,17OHP sp5 p chal SerPl-mCnc - 17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --5th specimen post XXX challenge
13194-6,A glaucus Ab Ser-aCnc - Aspergillus glaucus Ab [Units/volume] in Serum
13002-1,Mesityl Oxide Bld-mCnc - Mesityl oxide [Mass/volume] in Blood
13008-8,MPK Bld-mCnc - Methyl propyl ketone [Mass/volume] in Blood
13009-6,MEK Ur-mCnc - Methyl ethyl ketone [Mass/volume] in Urine
13015-3,Diisobutylketone Bld-mCnc - Diisobutylketone [Mass/volume] in Blood
12552-6,Prop glycol SerPl-mCnc - Propylene glycol [Mass/volume] in Serum or Plasma
13010-4,MAK Bld-mCnc - Methyl amyl ketone [Mass/volume] in Blood
13011-2,MEK Bld-mCnc - Methyl ethyl ketone [Mass/volume] in Blood
13012-0,MIAK Bld-mCnc - Methyl isoamyl ketone [Mass/volume] in Blood
12557-5,Cortis sp2 p chal SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge
12570-8,Cortis p chal SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --post XXX challenge
12638-3,Glucose pre Lac PO SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --pre dose lactose PO
13487-4,Phenol/Creat Ur - Phenol/Creatinine [Mass Ratio] in Urine
13777-8,Me-succinate/Creat Ur - Methylsuccinate/Creatinine [Mass Ratio] in Urine
13781-0,Me-histamine/Creat Ur - N-methylhistamine/Creatinine [Mass Ratio] in Urine
13796-8,Phosphoserine/Creat Ur - Phosphoserine/Creatinine [Mass Ratio] in Urine
13820-6,Urate/Creat 24h Ur - Urate/Creatinine [Mass Ratio] in 24 hour Urine
13873-5,Albumin Glycated MFr SerPl - Albumin.glycated/Albumin.total in Serum or Plasma
15725-5,Gelatin IgE RAST Ql - Gelatin IgE Ab RAST class [Presence] in Serum
15355-1,Estrone Sulfate SerPl-mCnc - Estrone sulfate [Mass/volume] in Serum or Plasma
15683-6,Dill IgE RAST Ql - Dill IgE Ab RAST class [Presence] in Serum
15520-0,ACTH IgE RAST Ql - Corticotropin IgE Ab RAST class [Presence] in Serum
15544-0,Ascaris IgE RAST Ql - Ascaris sp IgE Ab RAST class [Presence] in Serum
15537-4,Red Imp Fire Ant IgE RAST Ql - Red Imported Fire Ant IgE Ab RAST class [Presence] in Serum
15401-3,Drugs Bld Scn - Drugs identified in Blood by Screen method
15565-5,Red Kidney Bean IgE RAST Ql - Red Kidney Bean IgE Ab RAST class [Presence] in Serum
15566-3,Lima Bean IgE RAST Ql - Lima Bean IgE Ab RAST class [Presence] in Serum
15623-2,Cheddar IgE RAST Ql - Cheese cheddar type IgE Ab RAST class [Presence] in Serum
15581-2,B tropicalis IgE RAST Ql - Blomia tropicalis IgE Ab RAST class [Presence] in Serum
146-1,Cefuroxime Parenter Islt KB - Cefuroxime Parenteral [Susceptibility] by Disk diffusion (KB)
14273-7,Reticulin IgA Ser Ql - Reticulin IgA Ab [Presence] in Serum
14228-1,ER+ cells NFr Tiss ImStn - Cells.estrogen receptor/100 cells in Tissue by Immune stain
14230-7,PR+ cells NFr Tiss ImStn - Cells.progesterone receptor/100 cells in Tissue by Immune stain
1418-3,Cortis 30M p 250 ug ACTH IM SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM
14119-2,LDH1/LDH2 SerPl-cRto - Lactate dehydrogenase 1/Lactate dehydrogenase 2 [Enzymatic activity ratio] in Serum or Plasma
13934-5,Butanol Bld-mCnc - Butanol [Mass/volume] in Blood
13936-0,Diethyl Ether Bld-mCnc - Diethyl ether [Mass/volume] in Blood
13946-9,Comp+Ig RBC Ql - Complement+Immunoglobulin [Presence] in Red Blood Cells
13947-7,C immitis IgG Ser Ql IA - Coccidioides immitis IgG Ab [Presence] in Serum by Immunoassay
13948-5,C immitis IgM Ser Ql IA - Coccidioides immitis IgM Ab [Presence] in Serum by Immunoassay
15735-4,Grape IgE RAST Ql - Grape IgE Ab RAST class [Presence] in Serum
15667-9,Cucumber IgE RAST Ql - Cucumber IgE Ab RAST class [Presence] in Serum
15633-1,Chicken Feather IgE RAST Ql - Chicken feather IgE Ab RAST class [Presence] in Serum
15618-2,Celery IgE RAST Ql - Celery IgE Ab RAST class [Presence] in Serum
17379-9,Propanol Bld-mCnc - Propanol [Mass/volume] in Blood
16113-3,PR Tiss-Imp - Progesterone receptor [Interpretation] in Tissue
15813-9,Lentils IgE RAST Ql - Lentils IgE Ab RAST class [Presence] in Serum
15818-8,Lime IgE RAST Ql - Lime IgE Ab RAST class [Presence] in Serum
15805-5,Goosefoot IgE RAST Ql - Goosefoot IgE Ab RAST class [Presence] in Serum
15759-4,Guinea Pig Epith IgE RAST Ql - Guinea pig epithelium IgE Ab RAST class [Presence] in Serum
15743-8,Johnson grass IgE RAST Ql - Johnson grass IgE Ab RAST class [Presence] in Serum
15744-6,Kent blue grass IgE RAST Ql - Kentucky blue grass IgE Ab RAST class [Presence] in Serum
15971-5,Rabbit Epith IgE RAST Ql - Rabbit epithelium IgE Ab RAST class [Presence] in Serum
15952-5,Engl plantain IgE RAST Ql - English plantain IgE Ab RAST class [Presence] in Serum
15953-3,Plum IgE RAST Ql - Plum IgE Ab RAST class [Presence] in Serum
15943-4,Pine Nut IgE RAST Ql - Pine Nut IgE Ab RAST class [Presence] in Serum
15881-6,Red Oak IgE RAST Ql - Red Oak IgE Ab RAST class [Presence] in Serum
15869-1,Blue mussel IgE RAST Ql - Blue mussel IgE Ab RAST class [Presence] in Serum
15904-6,Budgie Drop IgE RAST Ql - Budgerigar droppings IgE Ab RAST class [Presence] in Serum
15926-9,Cayenne IgE RAST Ql - Cayenne IgE Ab RAST class [Presence] in Serum
15927-7,Chili Pepper IgE RAST Ql - Chili Pepper IgE Ab RAST class [Presence] in Serum
16027-5,Spinach IgE RAST Ql - Spinach IgE Ab RAST class [Presence] in Serum
16031-7,Squid IgE RAST Ql - Squid IgE Ab RAST class [Presence] in Serum
16033-3,S botryosum IgE RAST Ql - Stemphylium botryosum IgE Ab RAST class [Presence] in Serum
16040-8,Sugar Cane IgE RAST Ql - Sugar Cane IgE Ab RAST class [Presence] in Serum
16043-2,Swine Epith IgE RAST Ql - Swine epithelium IgE Ab RAST class [Presence] in Serum
16061-4,T rubrum IgE RAST Ql - Trichophyton rubrum IgE Ab RAST class [Presence] in Serum
16089-5,Cow Whey IgE RAST Ql - Cow whey IgE Ab RAST class [Presence] in Serum
16095-2,Wormwood IgE RAST Ql - Wormwood IgE Ab RAST class [Presence] in Serum
16066-3,Turkey Meat IgE RAST Ql - Turkey meat IgE Ab RAST class [Presence] in Serum
16071-3,Vanilla IgE RAST Ql - Vanilla IgE Ab RAST class [Presence] in Serum
25106-6,Glycolate/Creat Ur-sRto - Glycolate/Creatinine [Molar ratio] in Urine
25107-4,Glyoxylate/Creat Ur-sRto - Glyoxylate/Creatinine [Molar ratio] in Urine
25108-2,OH-Decanedioate/Creat Ur-sRto - Hydroxydecanedioate/Creatinine [Molar ratio] in Urine
23851-9,Cyclohexanone SerPl-mCnc - Cyclohexanone [Mass/volume] in Serum or Plasma
23827-9,B pert FHA IgA Ser-aCnc - Bordetella pertussis filamentous hemagglutinin IgA Ab [Units/volume] in Serum
24021-8,Deprecated S pneum12 Ab Ser-mCnc - Deprecated Streptococcus pneumoniae 12 Ab [Mass/volume] in Serum
24022-6,Deprecated S pneum14 Ab Ser-mCnc - Deprecated Streptococcus pneumoniae 14 Ab [Mass/volume] in Serum
24023-4,Deprecated S pneum3 Ab Ser-mCnc - Deprecated Streptococcus pneumoniae 3 Ab [Mass/volume] in Serum
24025-9,Deprecated S pneum8 Ab Ser-mCnc - Deprecated Streptococcus pneumoniae 8 Ab [Mass/volume] in Serum
24061-4,B-Galactosidase WBC-cCnt - Beta galactosidase [Enzymatic activity/mass] in Leukocytes
24165-3,Sugar Beet Seed IgE Qn - Sugar Beet Seed (Beta vulgaris seed) IgE Ab [Units/volume] in Serum
24127-3,B pert.PT IgG Ser IA-aCnc - Bordetella pertussis.pertussis toxin IgG Ab [Units/volume] in Serum by Immunoassay
25194-2,Ethambutol 5 ug/mL Islt SlowMyco - Ethambutol 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria
25329-4,Deprecated A pullulans IgE RAST Ql - Deprecated Aureobasidium pullulans IgE Ab RAST class in Serum
25118-1,Mevalonate/Creat Ur-sRto - Mevalonate/Creatinine [Molar ratio] in Urine
25841-8,HIV 2 proviral DNA Bld Ql NAA+probe - HIV 2 proviral DNA [Presence] in Blood by NAA with probe detection
25610-7,Chocineal IgE RAST Ql - Cochineal extract IgE Ab RAST class [Presence] in Serum
2567-6,Phospholipid P Ser-mCnc - Phospholipid phosphorus [Mass/volume] in Serum
21561-6,T sacchari Ab Ser Ql - Thermoactinomyces sacchari Ab [Presence] in Serum
21551-7,t(15;17)(PML,RARA) Bld/T Ql - t(15;17)(q24.1;q21.1)(PML,RARA) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method
21747-1,HC gene Rear Bld/T Ql - HC gene rearrangements [Presence] in Blood or Tissue by Molecular genetics method
21748-9,Kappa LC gene Rear Bld/T Ql - Kappa LC gene rearrangements [Presence] in Blood or Tissue by Molecular genetics method
21123-5,Wheat Bran IgE RAST Ql - Wheat Bran IgE Ab RAST class [Presence] in Serum
21017-9,CD57 Cells # Bld - CD57 cells [#/volume] in Blood
21236-5,Cyclohexanone Ur-mCnc - Cyclohexanone [Mass/volume] in Urine
21245-6,Diisobutylketone Ur-mCnc - Diisobutylketone [Mass/volume] in Urine
2125-3,Chymotryp Stl-mCnt - Chymotrypsin [Mass/mass] in Stool
21362-9,L pneumo IgG Titr Ser IF - Legionella pneumophila IgG Ab [Titer] in Serum by Immunofluorescence
21411-4,MAG IgM Ser-aCnc - Myelin associated glycoprotein IgM Ab [Units/volume] in Serum
22758-7,PAI1 Ag PPP IA-mCnc - Plasminogen activator inhibitor 1 Ag [Mass/volume] in Platelet poor plasma by Immunoassay
2421-6,Histidine SerPl Ql - Histidine [Presence] in Serum or Plasma
22086-3,A niger Ab Ser Ql - Aspergillus niger Ab [Presence] in Serum
21777-8,t(11;14)(CCND1,IGH) NFr Bld/T - t(11;14)(q13;q32)(CCND1,IGH) cells/Cells.total in Blood or Tissue by Molecular genetics method
22551-6,Deprecated S pneum7 IgG Ser-aCnc - Deprecated Streptococcus pneumoniae 7 IgG Ab [Units/volume] in Serum
16112-5,ER Tiss-Imp - Estrogen receptor [Interpretation] in Tissue
16277-6,B quintana DNA Bld Ql NAA+probe - Bartonella quintana DNA [Presence] in Blood by NAA with probe detection
174-3,Chloramphen Islt KB - Chloramphenicol [Susceptibility] by Disk diffusion (KB)
17430-0,Pentane Bld-mCnc - Pentane [Mass/volume] in Blood
1651-9,1Me-hist SerPl Ql - 1-Methylhistidine [Presence] in Serum or Plasma
1686-5,3Me-histidine SerPl-mCnc - 3-Methylhistidine [Mass/volume] in Serum or Plasma
17269-2,MIBK Ur-mCnc - Methyl isobutyl ketone [Mass/volume] in Urine
1700-4,Acetaldehyde Bld-mCnc - Acetaldehyde [Mass/volume] in Blood
1797-0,Amylase Prt-cCnc - Amylase [Enzymatic activity/volume] in Peritoneal fluid
1791-3,AAA Plas Ql - Alpha aminoadipate [Presence] in Plasma
17801-2,Metamyelocytes/leuk NFr Fld - Metamyelocytes/100 leukocytes in Body fluid
19291-4,Cannabinoids CtO Ur Scn-mCnc - Cannabinoids cutoff [Mass/volume] in Urine for Screen method
17609-9,Specimen wt 72h Stl-mRate - Weight [Mass/time] of 72 hour Stool
17652-9,S pneum Ag Spec Ql LA - Streptococcus pneumoniae Ag [Presence] in Specimen by Latex agglutination
17360-9,Heptane Bld-mCnc - Heptane [Mass/volume] in Blood
18771-6,Provider signing name - Provider signing name
18356-6,MDMA SerPl-mCnc - Methylenedioxymethamphetamine [Mass/volume] in Serum or Plasma
18416-8,A nidulans IgG Qn - Aspergillus nidulans IgG Ab [Units/volume] in Serum
18182-6,Osmolality SerPl Calc - Osmolality of Serum or Plasma by calculation
18186-7,Calcium 12h Ur-mRate - Calcium [Mass/time] in 12 hour Urine
18336-8,MTBE Bld-mCnc - Methyl tert-butyl ether [Mass/volume] in Blood
18322-8,Norketamine Ur-mCnc - Norketamine [Mass/volume] in Urine
190-9,Clarithro Islt KB - Clarithromycin [Susceptibility] by Disk diffusion (KB)
19229-4,HCO3 BldMV-sCnc - Bicarbonate [Moles/volume] in Mixed venous blood
19234-4,Base excess BldMV Calc-sCnc - Base excess in Mixed venous blood by calculation
19156-9,Susc Meth Spec - Susceptibility method [Identifier] in Specimen
